salary_id,salary_range,currency,compensation_type
sal05448,$55K to $75K,CAD,Annual
sal05449,50000 - 70000,CAD$,Hourly
sal05450,$60k - $80k,$CAD,Hourly
sal05451,80000 per annum,CAD,Hourly
sal05452,80000 per annum,USD,Annual
sal05453,"$90,000 - $120,000",USD,Hourly
sal05454,"$90,000 - $120,000",CAD,Annual
sal05455,35/hr,$CAD,Hourly
sal05456,35/hr,CAD,Annual
sal05457,80000 per annum,USD,Annual
sal05458,35/hr,CAD,Annual
sal05459,35/hr,CAD$,Hourly
sal05460,$55K to $75K,CAD$,Hourly
sal05461,35/hr,CAD,Annual
sal05462,$60k - $80k,CAD$,Annual
sal05463,50000 - 70000,USD,Hourly
sal05464,35/hr,CAD$,Hourly
sal05465,"$90,000 - $120,000",$CAD,Hourly
sal05466,50000 - 70000,$CAD,Annual
sal05467,35/hr,CAD$,Hourly
sal05468,50000 - 70000,CAD,Annual
sal05469,Negotiable,$CAD,Annual
sal05470,"$90,000 - $120,000",CAD$,Annual
sal05471,Negotiable,$CAD,Hourly
sal05472,"$90,000 - $120,000",USD,Hourly
sal05473,50000 - 70000,CAD$,Hourly
sal05474,Negotiable,USD,Hourly
sal05475,"$90,000 - $120,000",$CAD,Hourly
sal05476,35/hr,CAD,Annual
sal05477,Negotiable,CAD$,Annual
sal05478,"$90,000 - $120,000",CAD$,Hourly
sal05479,80000 per annum,$CAD,Annual
sal05480,Negotiable,CAD$,Hourly
sal05481,$60k - $80k,CAD,Annual
sal05482,$60k - $80k,CAD,Annual
sal05483,80000 per annum,CAD,Annual
sal05484,35/hr,CAD,Annual
sal05485,35/hr,CAD$,Annual
sal05486,80000 per annum,CAD$,Annual
sal05487,80000 per annum,$CAD,Annual
sal05488,Negotiable,USD,Annual
sal05489,Negotiable,CAD,Annual
sal05490,Negotiable,USD,Hourly
sal05491,35/hr,CAD,Hourly
sal05492,$55K to $75K,$CAD,Hourly
sal05493,$60k - $80k,$CAD,Annual
sal05494,Negotiable,CAD$,Hourly
sal05495,50000 - 70000,CAD$,Hourly
sal05496,Negotiable,CAD,Hourly
sal05497,$55K to $75K,CAD$,Hourly
sal05498,Negotiable,CAD$,Annual
sal05499,"$90,000 - $120,000",CAD$,Hourly
sal05500,$55K to $75K,CAD,Hourly
sal05501,80000 per annum,$CAD,Hourly
sal05502,50000 - 70000,$CAD,Annual
sal05503,80000 per annum,USD,Annual
sal05504,Negotiable,CAD,Annual
sal05505,Negotiable,$CAD,Hourly
sal05506,$55K to $75K,CAD$,Annual
sal05507,"$90,000 - $120,000",CAD$,Hourly
sal05508,50000 - 70000,$CAD,Annual
sal05509,Negotiable,CAD$,Hourly
sal05510,$60k - $80k,CAD,Annual
sal05511,$60k - $80k,$CAD,Hourly
sal05512,$60k - $80k,$CAD,Annual
sal05513,35/hr,USD,Annual
sal05514,"$90,000 - $120,000",USD,Annual
sal05515,$60k - $80k,CAD,Annual
sal05516,80000 per annum,USD,Hourly
sal05517,80000 per annum,CAD$,Hourly
sal05518,Negotiable,USD,Hourly
sal05519,80000 per annum,CAD,Hourly
sal05520,$55K to $75K,$CAD,Annual
sal05521,35/hr,CAD,Annual
sal05522,"$90,000 - $120,000",CAD,Annual
sal05523,50000 - 70000,USD,Hourly
sal05524,Negotiable,CAD$,Annual
sal05525,Negotiable,CAD,Hourly
sal05526,$55K to $75K,$CAD,Annual
sal05527,$55K to $75K,$CAD,Hourly
sal05528,50000 - 70000,CAD,Annual
sal05529,50000 - 70000,$CAD,Hourly
sal05530,50000 - 70000,$CAD,Hourly
sal05531,$60k - $80k,USD,Hourly
sal05532,$60k - $80k,CAD,Annual
sal05533,35/hr,CAD,Hourly
sal05534,Negotiable,CAD$,Annual
sal05535,"$90,000 - $120,000",USD,Hourly
sal05536,"$90,000 - $120,000",CAD$,Annual
sal05537,$60k - $80k,$CAD,Hourly
sal05538,$60k - $80k,CAD,Annual
sal05539,Negotiable,CAD$,Annual
sal05540,Negotiable,CAD$,Annual
sal05541,"$90,000 - $120,000",CAD$,Annual
sal05542,35/hr,CAD,Hourly
sal05543,"$90,000 - $120,000",CAD$,Annual
sal05544,35/hr,CAD$,Hourly
sal05545,"$90,000 - $120,000",CAD,Annual
sal05546,35/hr,CAD,Hourly
sal05547,80000 per annum,$CAD,Annual
sal05548,Negotiable,$CAD,Hourly
sal05549,$55K to $75K,$CAD,Annual
sal05550,$55K to $75K,$CAD,Hourly
sal05551,$60k - $80k,CAD$,Hourly
sal05552,35/hr,CAD,Annual
sal05553,50000 - 70000,CAD,Hourly
sal05554,"$90,000 - $120,000",USD,Hourly
sal05555,35/hr,CAD$,Annual
sal05556,$55K to $75K,$CAD,Annual
sal05557,$55K to $75K,$CAD,Annual
sal05558,80000 per annum,CAD$,Annual
sal05559,$60k - $80k,CAD$,Annual
sal05560,50000 - 70000,USD,Annual
sal05561,50000 - 70000,CAD,Hourly
sal05562,"$90,000 - $120,000",$CAD,Hourly
sal05563,35/hr,CAD,Annual
sal05564,$55K to $75K,$CAD,Hourly
sal05565,80000 per annum,USD,Hourly
sal05566,Negotiable,USD,Hourly
sal05567,50000 - 70000,USD,Hourly
sal05568,$60k - $80k,CAD$,Annual
sal05569,"$90,000 - $120,000",CAD,Annual
sal05570,$60k - $80k,USD,Hourly
sal05571,Negotiable,CAD$,Annual
sal05572,"$90,000 - $120,000",$CAD,Hourly
sal05573,80000 per annum,USD,Annual
sal05574,$60k - $80k,CAD$,Annual
sal05575,80000 per annum,USD,Hourly
sal05576,50000 - 70000,$CAD,Annual
sal05577,$55K to $75K,CAD,Hourly
sal05578,Negotiable,CAD$,Hourly
sal05579,"$90,000 - $120,000",$CAD,Annual
sal05580,$60k - $80k,CAD$,Hourly
sal05581,$60k - $80k,USD,Annual
sal05582,Negotiable,CAD$,Annual
sal05583,50000 - 70000,USD,Annual
sal05584,80000 per annum,USD,Annual
sal05585,"$90,000 - $120,000",USD,Hourly
sal05586,$55K to $75K,USD,Hourly
sal05587,$55K to $75K,CAD,Hourly
sal05588,50000 - 70000,$CAD,Annual
sal05589,Negotiable,CAD$,Annual
sal05590,$55K to $75K,$CAD,Hourly
sal05591,80000 per annum,CAD$,Annual
sal05592,$60k - $80k,$CAD,Annual
sal05593,50000 - 70000,$CAD,Hourly
sal05594,80000 per annum,CAD$,Annual
sal05595,50000 - 70000,USD,Annual
sal05596,Negotiable,CAD$,Annual
sal05597,Negotiable,CAD,Annual
sal05598,35/hr,$CAD,Annual
sal05599,80000 per annum,CAD$,Hourly
sal05600,80000 per annum,$CAD,Annual
sal05601,"$90,000 - $120,000",CAD$,Hourly
sal05602,$55K to $75K,USD,Hourly
sal05603,35/hr,$CAD,Annual
sal05604,"$90,000 - $120,000",USD,Annual
sal05605,35/hr,USD,Annual
sal05606,Negotiable,CAD$,Annual
sal05607,$60k - $80k,$CAD,Annual
sal05608,35/hr,CAD$,Hourly
sal05609,$60k - $80k,CAD,Annual
sal05610,50000 - 70000,CAD$,Annual
sal05611,80000 per annum,CAD$,Hourly
sal05612,80000 per annum,CAD,Hourly
sal05613,80000 per annum,CAD$,Hourly
sal05614,80000 per annum,CAD$,Hourly
sal05615,80000 per annum,CAD,Annual
sal05616,$55K to $75K,$CAD,Annual
sal05617,50000 - 70000,USD,Hourly
sal05618,80000 per annum,USD,Hourly
sal05619,$60k - $80k,USD,Annual
sal05620,35/hr,CAD$,Annual
sal05621,80000 per annum,$CAD,Annual
sal05622,50000 - 70000,USD,Hourly
sal05623,Negotiable,CAD,Hourly
sal05624,80000 per annum,$CAD,Hourly
sal05625,Negotiable,$CAD,Annual
sal05626,80000 per annum,USD,Hourly
sal05627,80000 per annum,$CAD,Hourly
sal05628,$55K to $75K,CAD$,Annual
sal05629,35/hr,CAD,Hourly
sal05630,"$90,000 - $120,000",CAD$,Annual
sal05631,35/hr,USD,Hourly
sal05632,50000 - 70000,$CAD,Annual
sal05633,Negotiable,CAD$,Annual
sal05634,35/hr,$CAD,Hourly
sal05635,80000 per annum,CAD$,Hourly
sal05636,Negotiable,CAD$,Hourly
sal05637,35/hr,USD,Annual
sal05638,80000 per annum,CAD,Hourly
sal05639,80000 per annum,$CAD,Hourly
sal05640,35/hr,CAD$,Hourly
sal05641,80000 per annum,USD,Annual
sal05642,"$90,000 - $120,000",CAD,Annual
sal05643,80000 per annum,CAD,Hourly
sal05644,50000 - 70000,$CAD,Annual
sal05645,80000 per annum,USD,Hourly
sal05646,$60k - $80k,CAD,Annual
sal05647,"$90,000 - $120,000",CAD,Hourly
sal05648,$60k - $80k,CAD$,Annual
sal05649,50000 - 70000,CAD,Annual
sal05650,"$90,000 - $120,000",$CAD,Hourly
sal05651,$60k - $80k,CAD$,Hourly
sal05652,50000 - 70000,CAD$,Hourly
sal05653,$55K to $75K,CAD,Annual
sal05654,Negotiable,$CAD,Hourly
sal05655,$55K to $75K,CAD,Hourly
sal05656,50000 - 70000,USD,Hourly
sal05657,80000 per annum,CAD,Annual
sal05658,80000 per annum,CAD$,Hourly
sal05659,35/hr,$CAD,Annual
sal05660,35/hr,$CAD,Annual
sal05661,80000 per annum,CAD$,Annual
sal05662,"$90,000 - $120,000",CAD$,Annual
sal05663,"$90,000 - $120,000",$CAD,Hourly
sal05664,35/hr,USD,Hourly
sal05665,$55K to $75K,USD,Hourly
sal05666,Negotiable,$CAD,Annual
sal05667,Negotiable,USD,Hourly
sal05668,$60k - $80k,CAD,Annual
sal05669,$60k - $80k,CAD,Annual
sal05670,35/hr,CAD,Hourly
sal05671,$60k - $80k,USD,Hourly
sal05672,$60k - $80k,CAD$,Hourly
sal05673,$60k - $80k,CAD$,Annual
sal05674,Negotiable,CAD,Annual
sal05675,"$90,000 - $120,000",$CAD,Annual
sal05676,$60k - $80k,CAD,Hourly
sal05677,50000 - 70000,CAD$,Annual
sal05678,80000 per annum,USD,Hourly
sal05679,$55K to $75K,CAD,Annual
sal05680,80000 per annum,CAD$,Annual
sal05681,50000 - 70000,CAD,Annual
sal05682,Negotiable,CAD,Annual
sal05683,"$90,000 - $120,000",USD,Annual
sal05684,"$90,000 - $120,000",CAD,Hourly
sal05685,$60k - $80k,CAD,Annual
sal05686,$55K to $75K,USD,Annual
sal05687,$60k - $80k,$CAD,Hourly
sal05688,$60k - $80k,CAD,Hourly
sal05689,80000 per annum,CAD,Annual
sal05690,80000 per annum,CAD,Annual
sal05691,$55K to $75K,CAD$,Hourly
sal05692,50000 - 70000,CAD,Annual
sal05693,35/hr,CAD,Annual
sal05694,$55K to $75K,CAD,Hourly
sal05695,35/hr,$CAD,Annual
sal05696,35/hr,CAD$,Annual
sal05697,"$90,000 - $120,000",USD,Annual
sal05698,Negotiable,USD,Hourly
sal05699,80000 per annum,USD,Annual
sal05700,"$90,000 - $120,000",USD,Annual
sal05701,Negotiable,$CAD,Annual
sal05702,35/hr,CAD,Annual
sal05703,"$90,000 - $120,000",CAD$,Hourly
sal05704,$60k - $80k,CAD$,Hourly
sal05705,$60k - $80k,$CAD,Hourly
sal05706,$55K to $75K,USD,Hourly
sal05707,$60k - $80k,CAD,Hourly
sal05708,50000 - 70000,$CAD,Annual
sal05709,80000 per annum,$CAD,Annual
sal05710,50000 - 70000,CAD$,Annual
sal05711,50000 - 70000,CAD$,Hourly
sal05712,Negotiable,CAD,Hourly
sal05713,80000 per annum,CAD,Annual
sal05714,35/hr,USD,Hourly
sal05715,$55K to $75K,$CAD,Hourly
sal05716,35/hr,$CAD,Hourly
sal05717,Negotiable,USD,Hourly
sal05718,$60k - $80k,CAD,Hourly
sal05719,80000 per annum,$CAD,Hourly
sal05720,$55K to $75K,$CAD,Annual
sal05721,$60k - $80k,$CAD,Hourly
sal05722,$55K to $75K,CAD$,Annual
sal05723,80000 per annum,CAD,Annual
sal05724,$55K to $75K,$CAD,Hourly
sal05725,35/hr,CAD,Annual
sal05726,$60k - $80k,CAD,Annual
sal05727,50000 - 70000,$CAD,Hourly
sal05728,35/hr,CAD$,Annual
sal05729,"$90,000 - $120,000",CAD,Hourly
sal05730,50000 - 70000,$CAD,Hourly
sal05731,35/hr,CAD,Annual
sal05732,"$90,000 - $120,000",CAD$,Hourly
sal05733,35/hr,USD,Hourly
sal05734,50000 - 70000,$CAD,Hourly
sal05735,$55K to $75K,CAD$,Annual
sal05736,80000 per annum,CAD,Hourly
sal05737,Negotiable,CAD$,Annual
sal05738,$60k - $80k,CAD,Hourly
sal05739,Negotiable,$CAD,Hourly
sal05740,"$90,000 - $120,000",CAD,Annual
sal05741,$55K to $75K,CAD,Hourly
sal05742,35/hr,CAD$,Hourly
sal05743,Negotiable,CAD,Hourly
sal05744,$60k - $80k,$CAD,Hourly
sal05745,80000 per annum,$CAD,Hourly
sal05746,35/hr,CAD$,Hourly
sal05747,"$90,000 - $120,000",CAD,Annual
sal05748,"$90,000 - $120,000",CAD,Annual
sal05749,"$90,000 - $120,000",USD,Annual
sal05750,35/hr,CAD$,Hourly
sal05751,"$90,000 - $120,000",$CAD,Hourly
sal05752,80000 per annum,USD,Hourly
sal05753,"$90,000 - $120,000",CAD,Annual
sal05754,"$90,000 - $120,000",USD,Annual
sal05755,50000 - 70000,CAD$,Hourly
sal05756,"$90,000 - $120,000",USD,Hourly
sal05757,"$90,000 - $120,000",$CAD,Annual
sal05758,80000 per annum,CAD,Annual
sal05759,"$90,000 - $120,000",USD,Annual
sal05760,80000 per annum,USD,Hourly
sal05761,Negotiable,$CAD,Annual
sal05762,35/hr,CAD,Annual
sal05763,80000 per annum,CAD$,Hourly
sal05764,80000 per annum,CAD$,Annual
sal05765,Negotiable,CAD$,Annual
sal05766,"$90,000 - $120,000",$CAD,Annual
sal05767,"$90,000 - $120,000",$CAD,Hourly
sal05768,"$90,000 - $120,000",USD,Hourly
sal05769,50000 - 70000,CAD,Annual
sal05770,"$90,000 - $120,000",$CAD,Annual
sal05771,35/hr,$CAD,Annual
sal05772,$55K to $75K,$CAD,Annual
sal05773,50000 - 70000,USD,Hourly
sal05774,Negotiable,USD,Hourly
sal05775,35/hr,USD,Annual
sal05776,$60k - $80k,USD,Annual
sal05777,Negotiable,CAD,Hourly
sal05778,Negotiable,CAD,Hourly
sal05779,$60k - $80k,$CAD,Annual
sal05780,Negotiable,$CAD,Hourly
sal05781,50000 - 70000,CAD$,Annual
sal05782,80000 per annum,CAD,Hourly
sal05783,50000 - 70000,CAD$,Annual
sal05784,50000 - 70000,$CAD,Hourly
sal05785,$55K to $75K,CAD$,Annual
sal05786,35/hr,CAD,Annual
sal05787,Negotiable,$CAD,Hourly
sal05788,80000 per annum,CAD,Hourly
sal05789,80000 per annum,CAD,Annual
sal05790,80000 per annum,$CAD,Hourly
sal05791,35/hr,USD,Annual
sal05792,80000 per annum,CAD$,Annual
sal05793,"$90,000 - $120,000",USD,Annual
sal05794,$60k - $80k,USD,Annual
sal05795,$60k - $80k,USD,Hourly
sal05796,$55K to $75K,$CAD,Hourly
sal05797,35/hr,CAD,Annual
sal05798,Negotiable,CAD$,Annual
sal05799,Negotiable,CAD$,Annual
sal05800,$55K to $75K,$CAD,Annual
sal05801,35/hr,$CAD,Annual
sal05802,$55K to $75K,USD,Annual
sal05803,80000 per annum,CAD,Annual
sal05804,$60k - $80k,CAD,Annual
sal05805,Negotiable,CAD$,Annual
sal05806,80000 per annum,CAD,Hourly
sal05807,"$90,000 - $120,000",CAD$,Annual
sal05808,$55K to $75K,CAD$,Annual
sal05809,$55K to $75K,USD,Hourly
sal05810,35/hr,$CAD,Hourly
sal05811,$55K to $75K,USD,Annual
sal05812,"$90,000 - $120,000",CAD,Hourly
sal05813,80000 per annum,CAD,Hourly
sal05814,"$90,000 - $120,000",CAD,Hourly
sal05815,"$90,000 - $120,000",USD,Annual
sal05816,80000 per annum,CAD$,Hourly
sal05817,$55K to $75K,USD,Annual
sal05818,Negotiable,CAD$,Hourly
sal05819,Negotiable,USD,Hourly
sal05820,50000 - 70000,USD,Hourly
sal05821,35/hr,$CAD,Hourly
sal05822,$60k - $80k,$CAD,Hourly
sal05823,80000 per annum,CAD,Hourly
sal05824,$60k - $80k,CAD$,Annual
sal05825,"$90,000 - $120,000",USD,Hourly
sal05826,$60k - $80k,USD,Annual
sal05827,80000 per annum,CAD$,Annual
sal05828,Negotiable,CAD$,Annual
sal05829,50000 - 70000,CAD,Hourly
sal05830,Negotiable,USD,Hourly
sal05831,80000 per annum,$CAD,Annual
sal05832,$60k - $80k,CAD,Annual
sal05833,80000 per annum,CAD,Hourly
sal05834,Negotiable,CAD$,Annual
sal05835,35/hr,USD,Annual
sal05836,50000 - 70000,CAD$,Annual
sal05837,Negotiable,USD,Hourly
sal05838,50000 - 70000,CAD,Annual
sal05839,50000 - 70000,CAD,Annual
sal05840,"$90,000 - $120,000",$CAD,Hourly
sal05841,$60k - $80k,CAD,Annual
sal05842,Negotiable,CAD,Hourly
sal05843,80000 per annum,CAD,Annual
sal05844,50000 - 70000,CAD,Hourly
sal05845,$55K to $75K,USD,Annual
sal05846,50000 - 70000,CAD$,Hourly
sal05847,80000 per annum,$CAD,Hourly
sal05848,Negotiable,$CAD,Hourly
sal05849,Negotiable,USD,Hourly
sal05850,$60k - $80k,USD,Annual
sal05851,Negotiable,CAD$,Annual
sal05852,50000 - 70000,CAD$,Annual
sal05853,Negotiable,USD,Annual
sal05854,$60k - $80k,$CAD,Hourly
sal05855,80000 per annum,CAD,Annual
sal05856,$60k - $80k,$CAD,Hourly
sal05857,$60k - $80k,CAD,Annual
sal05858,"$90,000 - $120,000",USD,Annual
sal05859,50000 - 70000,$CAD,Hourly
sal05860,"$90,000 - $120,000",$CAD,Hourly
sal05861,$60k - $80k,CAD,Annual
sal05862,50000 - 70000,USD,Hourly
sal05863,$60k - $80k,USD,Annual
sal05864,50000 - 70000,USD,Hourly
sal05865,Negotiable,CAD,Hourly
sal05866,35/hr,CAD$,Hourly
sal05867,$55K to $75K,$CAD,Annual
sal05868,$55K to $75K,CAD$,Hourly
sal05869,35/hr,USD,Hourly
sal05870,"$90,000 - $120,000",CAD$,Hourly
sal05871,80000 per annum,USD,Annual
sal05872,80000 per annum,USD,Hourly
sal05873,$60k - $80k,CAD,Annual
sal05874,35/hr,CAD,Hourly
sal05875,$60k - $80k,CAD,Hourly
sal05876,$55K to $75K,CAD,Hourly
sal05877,35/hr,CAD,Hourly
sal05878,80000 per annum,$CAD,Annual
sal05879,Negotiable,USD,Hourly
sal05880,80000 per annum,CAD,Hourly
sal05881,35/hr,CAD$,Hourly
sal05882,$55K to $75K,USD,Hourly
sal05883,80000 per annum,CAD,Hourly
sal05884,35/hr,$CAD,Annual
sal05885,80000 per annum,$CAD,Annual
sal05886,$60k - $80k,$CAD,Annual
sal05887,Negotiable,CAD$,Hourly
sal05888,$60k - $80k,USD,Annual
sal05889,"$90,000 - $120,000",CAD$,Annual
sal05890,Negotiable,$CAD,Hourly
sal05891,35/hr,CAD,Annual
sal05892,35/hr,$CAD,Annual
sal05893,80000 per annum,CAD$,Annual
sal05894,"$90,000 - $120,000",USD,Annual
sal05895,$55K to $75K,USD,Hourly
sal05896,50000 - 70000,$CAD,Hourly
sal05897,50000 - 70000,$CAD,Annual
sal05898,$60k - $80k,CAD,Hourly
sal05899,"$90,000 - $120,000",CAD$,Annual
sal05900,35/hr,$CAD,Hourly
sal05901,80000 per annum,CAD,Annual
sal05902,$55K to $75K,CAD,Hourly
sal05903,50000 - 70000,USD,Annual
sal05904,50000 - 70000,CAD$,Annual
sal05905,80000 per annum,CAD$,Hourly
sal05906,"$90,000 - $120,000",USD,Hourly
sal05907,$60k - $80k,USD,Hourly
sal05908,80000 per annum,CAD,Hourly
sal05909,"$90,000 - $120,000",CAD$,Annual
sal05910,$55K to $75K,$CAD,Hourly
sal05911,$55K to $75K,$CAD,Hourly
sal05912,35/hr,$CAD,Hourly
sal05913,"$90,000 - $120,000",USD,Annual
sal05914,"$90,000 - $120,000",USD,Hourly
sal05915,80000 per annum,USD,Annual
sal05916,$55K to $75K,$CAD,Annual
sal05917,50000 - 70000,USD,Hourly
sal05918,$60k - $80k,USD,Hourly
sal05919,$55K to $75K,$CAD,Hourly
sal05920,"$90,000 - $120,000",$CAD,Hourly
sal05921,"$90,000 - $120,000",CAD$,Hourly
sal05922,"$90,000 - $120,000",CAD$,Annual
sal05923,"$90,000 - $120,000",$CAD,Annual
sal05924,80000 per annum,CAD$,Annual
sal05925,80000 per annum,CAD$,Annual
sal05926,"$90,000 - $120,000",USD,Hourly
sal05927,35/hr,CAD,Hourly
sal05928,35/hr,$CAD,Annual
sal05929,50000 - 70000,USD,Annual
sal05930,80000 per annum,CAD,Annual
sal05931,Negotiable,$CAD,Annual
sal05932,$60k - $80k,CAD$,Hourly
sal05933,Negotiable,$CAD,Annual
sal05934,$55K to $75K,CAD,Hourly
sal05935,$60k - $80k,CAD,Hourly
sal05936,80000 per annum,CAD$,Annual
sal05937,35/hr,CAD,Annual
sal05938,80000 per annum,CAD$,Hourly
sal05939,80000 per annum,CAD,Annual
sal05940,$60k - $80k,CAD$,Hourly
sal05941,$55K to $75K,CAD$,Hourly
sal05942,80000 per annum,$CAD,Annual
sal05943,$55K to $75K,CAD,Hourly
sal05944,Negotiable,USD,Hourly
sal05945,50000 - 70000,USD,Hourly
sal05946,$60k - $80k,$CAD,Annual
sal05947,Negotiable,CAD,Annual
sal05948,"$90,000 - $120,000",CAD$,Annual
sal05949,50000 - 70000,CAD$,Annual
sal05950,$60k - $80k,USD,Annual
sal05951,50000 - 70000,$CAD,Hourly
sal05952,35/hr,$CAD,Hourly
sal05953,"$90,000 - $120,000",CAD,Hourly
sal05954,80000 per annum,USD,Annual
sal05955,"$90,000 - $120,000",CAD,Annual
sal05956,Negotiable,CAD,Hourly
sal05957,50000 - 70000,$CAD,Annual
sal05958,35/hr,CAD,Hourly
sal05959,"$90,000 - $120,000",USD,Annual
sal05960,"$90,000 - $120,000",CAD$,Annual
sal05961,$60k - $80k,USD,Annual
sal05962,50000 - 70000,$CAD,Hourly
sal05963,$60k - $80k,CAD,Annual
sal05964,"$90,000 - $120,000",CAD$,Annual
sal05965,35/hr,$CAD,Hourly
sal05966,35/hr,CAD$,Annual
sal05967,$55K to $75K,$CAD,Annual
sal05968,50000 - 70000,USD,Hourly
sal05969,35/hr,USD,Hourly
sal05970,$60k - $80k,CAD,Hourly
sal05971,Negotiable,USD,Annual
sal05972,Negotiable,USD,Annual
sal05973,$60k - $80k,CAD$,Hourly
sal05974,50000 - 70000,$CAD,Annual
sal05975,50000 - 70000,CAD,Annual
sal05976,$60k - $80k,CAD$,Hourly
sal05977,$55K to $75K,CAD$,Annual
sal05978,50000 - 70000,USD,Annual
sal05979,"$90,000 - $120,000",USD,Hourly
sal05980,80000 per annum,USD,Annual
sal05981,50000 - 70000,CAD,Hourly
sal05982,$55K to $75K,CAD,Annual
sal05983,80000 per annum,CAD$,Hourly
sal05984,"$90,000 - $120,000",CAD,Hourly
sal05985,Negotiable,CAD,Annual
sal05986,50000 - 70000,CAD$,Hourly
sal05987,$55K to $75K,$CAD,Hourly
sal05988,$55K to $75K,CAD,Annual
sal05989,$55K to $75K,CAD,Annual
sal05990,50000 - 70000,$CAD,Annual
sal05991,35/hr,USD,Hourly
sal05992,80000 per annum,USD,Hourly
sal05993,35/hr,USD,Annual
sal05994,Negotiable,CAD$,Hourly
sal05995,50000 - 70000,USD,Hourly
sal05996,$55K to $75K,CAD$,Hourly
sal05997,80000 per annum,CAD,Hourly
sal05998,$60k - $80k,$CAD,Hourly
sal05999,35/hr,USD,Hourly
sal06000,35/hr,USD,Annual
sal06001,50000 - 70000,CAD,Hourly
sal06002,"$90,000 - $120,000",CAD,Hourly
sal06003,Negotiable,CAD$,Hourly
sal06004,50000 - 70000,CAD$,Hourly
sal06005,"$90,000 - $120,000",CAD$,Hourly
sal06006,80000 per annum,$CAD,Hourly
sal06007,Negotiable,USD,Hourly
sal06008,80000 per annum,CAD$,Annual
sal06009,$55K to $75K,CAD$,Annual
sal06010,35/hr,$CAD,Hourly
sal06011,$60k - $80k,USD,Annual
sal06012,80000 per annum,CAD$,Hourly
sal06013,Negotiable,USD,Hourly
sal06014,50000 - 70000,CAD,Hourly
sal06015,$60k - $80k,$CAD,Annual
sal06016,Negotiable,$CAD,Hourly
sal06017,$55K to $75K,CAD,Hourly
sal06018,$60k - $80k,$CAD,Annual
sal06019,$60k - $80k,CAD$,Annual
sal06020,Negotiable,CAD$,Annual
sal06021,$60k - $80k,USD,Annual
sal06022,50000 - 70000,CAD,Annual
sal06023,"$90,000 - $120,000",USD,Annual
sal06024,"$90,000 - $120,000",CAD$,Hourly
sal06025,$60k - $80k,USD,Hourly
sal06026,80000 per annum,USD,Hourly
sal06027,$55K to $75K,CAD,Hourly
sal06028,80000 per annum,CAD,Hourly
sal06029,Negotiable,USD,Hourly
sal06030,50000 - 70000,USD,Annual
sal06031,80000 per annum,USD,Annual
sal06032,35/hr,CAD,Annual
sal06033,$60k - $80k,USD,Annual
sal06034,$60k - $80k,CAD$,Hourly
sal06035,80000 per annum,CAD,Annual
sal06036,"$90,000 - $120,000",$CAD,Hourly
sal06037,50000 - 70000,USD,Annual
sal06038,Negotiable,CAD$,Annual
sal06039,$60k - $80k,CAD$,Hourly
sal06040,$60k - $80k,CAD,Hourly
sal06041,35/hr,CAD$,Annual
sal06042,50000 - 70000,CAD$,Hourly
sal06043,50000 - 70000,$CAD,Hourly
sal06044,"$90,000 - $120,000",CAD$,Annual
sal06045,80000 per annum,USD,Annual
sal06046,50000 - 70000,$CAD,Hourly
sal06047,Negotiable,CAD,Annual
sal06048,Negotiable,USD,Annual
sal06049,$60k - $80k,CAD$,Hourly
sal06050,$60k - $80k,CAD,Hourly
sal06051,35/hr,CAD$,Annual
sal06052,"$90,000 - $120,000",USD,Hourly
sal06053,50000 - 70000,USD,Hourly
sal06054,$60k - $80k,USD,Annual
sal06055,"$90,000 - $120,000",CAD$,Annual
sal06056,50000 - 70000,USD,Hourly
sal06057,50000 - 70000,$CAD,Hourly
sal06058,50000 - 70000,$CAD,Annual
sal06059,$60k - $80k,$CAD,Annual
sal06060,$55K to $75K,CAD,Annual
sal06061,$55K to $75K,USD,Annual
sal06062,"$90,000 - $120,000",$CAD,Annual
sal06063,$60k - $80k,CAD,Annual
sal06064,50000 - 70000,$CAD,Hourly
sal06065,$55K to $75K,$CAD,Hourly
sal06066,$60k - $80k,CAD,Hourly
sal06067,"$90,000 - $120,000",USD,Annual
sal06068,80000 per annum,CAD,Hourly
sal06069,35/hr,CAD,Annual
sal06070,"$90,000 - $120,000",CAD$,Hourly
sal06071,$55K to $75K,CAD$,Hourly
sal06072,Negotiable,CAD,Hourly
sal06073,"$90,000 - $120,000",CAD$,Annual
sal06074,$60k - $80k,$CAD,Annual
sal06075,$60k - $80k,USD,Hourly
sal06076,Negotiable,USD,Hourly
sal06077,Negotiable,$CAD,Annual
sal06078,80000 per annum,USD,Annual
sal06079,80000 per annum,CAD,Annual
sal06080,$60k - $80k,CAD$,Hourly
sal06081,"$90,000 - $120,000",USD,Annual
sal06082,50000 - 70000,CAD,Hourly
sal06083,35/hr,CAD$,Annual
sal06084,35/hr,CAD,Hourly
sal06085,80000 per annum,CAD,Annual
sal06086,$60k - $80k,CAD$,Hourly
sal06087,35/hr,USD,Hourly
sal06088,Negotiable,CAD,Hourly
sal06089,$55K to $75K,$CAD,Hourly
sal06090,80000 per annum,CAD$,Annual
sal06091,"$90,000 - $120,000",CAD$,Hourly
sal06092,$55K to $75K,USD,Annual
sal06093,Negotiable,CAD$,Annual
sal06094,"$90,000 - $120,000",$CAD,Hourly
sal06095,80000 per annum,USD,Annual
sal06096,80000 per annum,USD,Hourly
sal06097,Negotiable,$CAD,Hourly
