requirements_id,experience_years,education_level,skills_required
req03542,3-5 yrs,B.Sc.,"Leadership, Spark, Tableau, R"
req03543,at least 2,MSc,"Spark, Excel"
req03544,None,None,"Tableau, Spark, SQL, R"
req03545,at least 2,Bachelor's,"Tableau, Python, Spark"
req03546,2+,B.Sc.,"Excel, R, Python"
req03547,None,Bachelor's,"Python, Communication, SQL, Spark"
req03548,1 year,Bachelor's,"R, Hadoop, PowerBI"
req03549,None,PhD,"PowerBI, Hadoop"
req03550,None,BS,"Spark, Hadoop, Scala, SQL, R"
req03551,2+,MSc,"PowerBI, Communication, R"
req03552,at least 2,PhD,"SQL, Leadership, Scala"
req03553,2+,BS,"Leadership, Python, Tableau"
req03554,3-5 yrs,Bachelor's,"Excel, Spark, Tableau"
req03555,None,Bachelor's,"Python, Spark"
req03556,3-5 yrs,BS,"Hadoop, Python, Spark, Excel"
req03557,at least 2,B.Sc.,"Leadership, Scala, SQL, Spark"
req03558,1 year,MSc,"R, Scala, Tableau, Spark"
req03559,at least 2,None,"Excel, Scala, Tableau"
req03560,None,B.Sc.,"Spark, Communication"
req03561,None,BS,"SQL, Excel"
req03562,None,PhD,"Scala, Communication"
req03563,2+,B.Sc.,"Tableau, Leadership, Communication"
req03564,at least 2,BS,"Spark, PowerBI, Communication, Hadoop, Excel"
req03565,3-5 yrs,None,"R, Hadoop, Tableau, Scala, SQL"
req03566,1 year,MSc,"Python, R, SQL, Excel"
req03567,1 year,MSc,"Excel, PowerBI, Hadoop"
req03568,3-5 yrs,Bachelor's,"Python, R, Hadoop, Excel"
req03569,None,B.Sc.,"Excel, Tableau"
req03570,1 year,BS,"SQL, Excel, Spark"
req03571,1 year,BS,"Hadoop, Leadership, SQL, Spark"
req03572,2+,BS,"Hadoop, R, SQL, Scala"
req03573,at least 2,B.Sc.,"Tableau, SQL"
req03574,1 year,Bachelor's,"Tableau, Hadoop, R, Python"
req03575,2+,BS,"Communication, PowerBI, Excel"
req03576,at least 2,BS,"R, PowerBI, Python, Tableau"
req03577,3-5 yrs,Bachelor's,"R, Python, SQL, Hadoop, Tableau"
req03578,at least 2,PhD,"Excel, Leadership, Scala, Python"
req03579,3-5 yrs,B.Sc.,"PowerBI, Spark"
req03580,at least 2,BS,"PowerBI, Communication, Hadoop"
req03581,at least 2,BS,"PowerBI, Tableau, Scala"
req03582,1 year,None,"Hadoop, Spark, Leadership"
req03583,1 year,None,"Python, Tableau"
req03584,3-5 yrs,MSc,"Hadoop, SQL, R, Python, Leadership"
req03585,2+,PhD,"Excel, SQL, PowerBI"
req03586,at least 2,PhD,"Scala, Python, R"
req03587,2+,None,"SQL, PowerBI, Excel, Leadership, Communication"
req03588,2+,Bachelor's,"Spark, Leadership, Scala, Tableau"
req03589,at least 2,PhD,"Leadership, Scala"
req03590,3-5 yrs,B.Sc.,"SQL, Excel, Python, Scala, Communication"
req03591,3-5 yrs,PhD,"Spark, Python, PowerBI, R, Leadership"
req03592,2+,MSc,"Excel, Python, Communication, PowerBI, SQL"
req03593,3-5 yrs,B.Sc.,"Hadoop, Scala, PowerBI, Python, Excel"
req03594,3-5 yrs,PhD,"Python, Communication, PowerBI"
req03595,at least 2,MSc,"PowerBI, Excel, Tableau, Communication"
req03596,at least 2,None,"R, Leadership, Spark, Communication"
req03597,None,BS,"R, Scala, Hadoop, Spark"
req03598,1 year,B.Sc.,"PowerBI, Communication, Excel, SQL, Python"
req03599,1 year,None,"Scala, Python, Tableau, SQL, Leadership"
req03600,3-5 yrs,PhD,"Excel, Leadership, Scala, SQL, Communication"
req03601,2+,PhD,"R, Spark, Scala"
req03602,at least 2,None,"Communication, Scala, Hadoop"
req03603,1 year,Bachelor's,"R, SQL, Leadership"
req03604,at least 2,PhD,"Leadership, Communication"
req03605,3-5 yrs,Bachelor's,"Hadoop, Tableau"
req03606,None,BS,"R, Scala, Communication, SQL"
req03607,at least 2,Bachelor's,"PowerBI, Python"
req03608,None,B.Sc.,"PowerBI, Spark, Excel, SQL, Hadoop"
req03609,None,Bachelor's,"Hadoop, R, Leadership"
req03610,2+,MSc,"Tableau, Scala, SQL, Communication, Python"
req03611,3-5 yrs,Bachelor's,"Spark, Communication, R, Python, Excel"
req03612,None,PhD,"Spark, Communication"
req03613,None,BS,"Leadership, R"
req03614,2+,None,"Python, Spark"
req03615,None,None,"Excel, PowerBI, Tableau, Hadoop"
req03616,at least 2,B.Sc.,"Tableau, Python, Scala, Communication"
req03617,None,BS,"Hadoop, Spark, R"
req03618,3-5 yrs,Bachelor's,"SQL, Python, Scala, Communication, Spark"
req03619,at least 2,BS,"Tableau, Communication"
req03620,None,None,"SQL, Excel, Leadership, Hadoop, Scala"
req03621,1 year,PhD,"PowerBI, R, Excel, Scala"
req03622,at least 2,PhD,"R, Spark, Hadoop, SQL"
req03623,at least 2,Bachelor's,"Hadoop, R, Scala, Spark, Tableau"
req03624,3-5 yrs,PhD,"Spark, Hadoop"
req03625,None,B.Sc.,"Scala, SQL, Communication, R, Tableau"
req03626,1 year,MSc,"Python, SQL, Scala, Leadership, Communication"
req03627,3-5 yrs,MSc,"Hadoop, Spark, Python, PowerBI"
req03628,3-5 yrs,Bachelor's,"Excel, Communication, SQL, Scala, R"
req03629,3-5 yrs,BS,"Tableau, SQL, Communication"
req03630,3-5 yrs,Bachelor's,"Python, Excel, Spark, R"
req03631,1 year,BS,"Communication, SQL"
req03632,2+,BS,"SQL, Tableau, PowerBI, Scala"
req03633,2+,MSc,"Hadoop, PowerBI, Communication"
req03634,2+,B.Sc.,"Python, Spark, Excel"
req03635,1 year,Bachelor's,"Hadoop, Leadership, Tableau, Scala, Spark"
req03636,2+,None,"Spark, Python, Excel"
req03637,3-5 yrs,None,"PowerBI, Leadership, SQL, Hadoop"
req03638,None,MSc,"Hadoop, Excel"
req03639,None,MSc,"Hadoop, R, PowerBI, Python"
req03640,1 year,B.Sc.,"Hadoop, Spark"
req03641,3-5 yrs,B.Sc.,"Communication, R, Tableau"
req03642,2+,B.Sc.,"SQL, Spark, R, Leadership, Scala"
req03643,at least 2,PhD,"Scala, R, Tableau, PowerBI, Spark"
req03644,3-5 yrs,MSc,"SQL, Tableau, Scala, Python, Leadership"
req03645,2+,BS,"Python, Hadoop, Communication, Excel, SQL"
req03646,3-5 yrs,B.Sc.,"Hadoop, PowerBI, Scala, R, Tableau"
req03647,None,None,"Communication, Spark, PowerBI, Tableau"
req03648,None,PhD,"Hadoop, Leadership"
req03649,1 year,MSc,"Spark, Python"
req03650,3-5 yrs,Bachelor's,"Leadership, Spark, Python, Hadoop"
req03651,None,B.Sc.,"Leadership, Tableau, Spark, SQL, Communication"
req03652,at least 2,PhD,"Hadoop, Spark, Leadership"
req03653,3-5 yrs,BS,"PowerBI, Hadoop, Python, Excel"
req03654,3-5 yrs,BS,"Leadership, R, Scala, Python"
req03655,3-5 yrs,PhD,"Excel, Leadership, Communication"
req03656,None,Bachelor's,"Scala, Tableau, Leadership, Python, Communication"
req03657,2+,Bachelor's,"Hadoop, PowerBI, Communication"
req03658,at least 2,BS,"Scala, Hadoop, Tableau, Spark, R"
req03659,2+,PhD,"Leadership, PowerBI, R"
req03660,at least 2,BS,"Scala, Spark"
req03661,2+,MSc,"Tableau, Scala, Hadoop"
req03662,1 year,B.Sc.,"Spark, SQL"
req03663,3-5 yrs,B.Sc.,"SQL, Leadership, Excel, Python, Communication"
req03664,1 year,BS,"Leadership, Hadoop, R"
req03665,at least 2,PhD,"Tableau, Scala"
req03666,None,PhD,"Excel, Python, Hadoop"
req03667,None,BS,"Excel, Spark"
req03668,2+,B.Sc.,"Excel, R, Communication"
req03669,None,None,"Communication, PowerBI"
req03670,3-5 yrs,Bachelor's,"Excel, Scala"
req03671,2+,MSc,"Tableau, Hadoop, R"
req03672,3-5 yrs,PhD,"Hadoop, R, Scala, Python, Tableau"
req03673,1 year,BS,"Tableau, PowerBI, Leadership"
req03674,None,B.Sc.,"Excel, PowerBI, Python"
req03675,3-5 yrs,B.Sc.,"Communication, Tableau, Python"
req03676,1 year,B.Sc.,"Spark, Communication, Tableau"
req03677,3-5 yrs,BS,"R, Python, Scala, Excel"
req03678,None,PhD,"PowerBI, Spark, Excel"
req03679,None,BS,"SQL, Scala, Python, R, PowerBI"
req03680,1 year,PhD,"Hadoop, R, Communication, Tableau, Excel"
req03681,1 year,Bachelor's,"Python, Communication, Spark"
req03682,at least 2,MSc,"Tableau, SQL, Python, Scala"
req03683,1 year,None,"Tableau, R, Scala, Hadoop"
req03684,at least 2,None,"Excel, Tableau, Communication, SQL"
req03685,at least 2,B.Sc.,"Excel, Tableau, Spark, Hadoop"
req03686,1 year,Bachelor's,"Tableau, Leadership, Hadoop, Excel, Communication"
req03687,None,BS,"PowerBI, Scala, Python"
req03688,at least 2,None,"PowerBI, Spark, Hadoop, Excel, Leadership"
req03689,at least 2,None,"Hadoop, Communication, Python"
req03690,2+,MSc,"Excel, Python, Spark"
req03691,3-5 yrs,MSc,"Spark, Scala, Leadership, SQL"
req03692,1 year,Bachelor's,"Communication, SQL, Leadership, PowerBI"
req03693,None,None,"PowerBI, Tableau, Hadoop, Python, R"
req03694,2+,PhD,"Spark, Communication"
req03695,None,B.Sc.,"Scala, Tableau, Hadoop, SQL"
req03696,2+,BS,"Communication, R, Excel"
req03697,2+,MSc,"Python, R, Spark"
req03698,1 year,MSc,"Excel, Tableau, Spark, Hadoop"
req03699,1 year,PhD,"Communication, Spark"
req03700,None,MSc,"SQL, PowerBI, Scala"
req03701,2+,BS,"SQL, Scala, Hadoop"
req03702,at least 2,PhD,"Python, Leadership"
req03703,2+,None,"SQL, Communication"
req03704,2+,None,"Excel, PowerBI, Scala, Python, Hadoop"
req03705,None,BS,"Communication, Excel"
req03706,3-5 yrs,Bachelor's,"PowerBI, R, Spark, Communication"
req03707,2+,B.Sc.,"SQL, Excel, Scala"
req03708,None,BS,"Hadoop, Communication"
req03709,None,Bachelor's,"SQL, Hadoop"
req03710,2+,None,"Leadership, SQL, R, Spark"
req03711,3-5 yrs,BS,"Hadoop, Excel, Leadership, R"
req03712,at least 2,BS,"Hadoop, Excel, Communication, Leadership, R"
req03713,1 year,B.Sc.,"Python, Hadoop, Scala"
req03714,2+,MSc,"Spark, Leadership, Hadoop, Excel"
req03715,at least 2,Bachelor's,"Scala, Leadership, Spark, Hadoop, Excel"
req03716,at least 2,PhD,"PowerBI, Communication"
req03717,2+,MSc,"Leadership, Spark, Scala, Tableau"
req03718,1 year,None,"SQL, Leadership, Spark, Tableau, Excel"
req03719,None,Bachelor's,"Python, Leadership, PowerBI, Communication"
req03720,2+,None,"Python, R"
req03721,3-5 yrs,PhD,"Scala, Tableau, Leadership"
req03722,at least 2,Bachelor's,"PowerBI, Spark, Leadership, Python, Tableau"
req03723,1 year,B.Sc.,"R, Tableau, Excel"
req03724,3-5 yrs,None,"Python, Scala, PowerBI, Spark, Communication"
req03725,at least 2,B.Sc.,"R, Communication, PowerBI, Excel"
req03726,at least 2,MSc,"Spark, Communication, Tableau"
req03727,2+,Bachelor's,"Leadership, Hadoop, Spark, SQL"
req03728,1 year,MSc,"Scala, R, Tableau, Python, Hadoop"
req03729,at least 2,PhD,"Hadoop, Spark, Scala, SQL, Excel"
req03730,3-5 yrs,MSc,"R, Scala"
req03731,2+,None,"R, PowerBI, Python, Hadoop, Leadership"
req03732,at least 2,Bachelor's,"Communication, Leadership, Spark"
req03733,2+,BS,"Python, Communication, Excel, R"
req03734,None,None,"Communication, Spark, PowerBI, Leadership, Excel"
req03735,at least 2,Bachelor's,"Hadoop, Leadership, Python, Tableau"
req03736,None,PhD,"Python, PowerBI, Tableau, R"
req03737,at least 2,None,"SQL, PowerBI, Hadoop, Scala, Spark"
req03738,None,BS,"R, Leadership, Excel"
req03739,1 year,B.Sc.,"Excel, Leadership, Scala, Communication, Hadoop"
req03740,2+,BS,"PowerBI, Python, SQL"
req03741,at least 2,MSc,"R, Tableau, SQL, Leadership, Spark"
req03742,1 year,MSc,"SQL, Hadoop, Scala, Excel, PowerBI"
req03743,None,PhD,"Spark, Python, Communication, PowerBI, SQL"
req03744,3-5 yrs,None,"Scala, Leadership, Excel"
req03745,2+,BS,"Python, Hadoop, Tableau, Spark"
req03746,None,BS,"Communication, Leadership, SQL, R"
req03747,at least 2,BS,"SQL, Python, R, Scala, PowerBI"
req03748,None,MSc,"Tableau, Leadership, Scala, Excel"
req03749,2+,BS,"R, Leadership, Excel, SQL"
req03750,2+,Bachelor's,"SQL, Tableau, PowerBI, Leadership"
req03751,None,None,"Leadership, Excel, SQL, Spark"
req03752,None,Bachelor's,"Spark, Excel"
req03753,2+,PhD,"Scala, Hadoop, Spark, Communication"
req03754,2+,None,"R, Hadoop"
req03755,at least 2,PhD,"R, Leadership"
req03756,None,MSc,"Scala, SQL"
req03757,1 year,None,"Scala, SQL, Hadoop, Leadership, Spark"
req03758,None,B.Sc.,"Leadership, Spark, PowerBI"
req03759,3-5 yrs,None,"R, Python"
req03760,at least 2,None,"R, Python, Scala, SQL"
req03761,1 year,PhD,"Tableau, Spark, R, Communication, Excel"
req03762,at least 2,PhD,"Communication, PowerBI, Scala, Tableau, R"
req03763,None,B.Sc.,"Excel, SQL, Hadoop, Tableau"
req03764,2+,MSc,"SQL, Hadoop, Leadership, Tableau, R"
req03765,1 year,None,"Excel, PowerBI, Hadoop, Python"
req03766,1 year,None,"Scala, Excel, Python, Hadoop, SQL"
req03767,2+,None,"SQL, Communication, Tableau, Python, Hadoop"
req03768,1 year,B.Sc.,"Hadoop, Tableau, PowerBI, Communication, Spark"
req03769,3-5 yrs,MSc,"R, PowerBI, Leadership"
req03770,at least 2,BS,"Excel, R"
req03771,3-5 yrs,B.Sc.,"R, Communication, Tableau"
req03772,3-5 yrs,Bachelor's,"R, Spark"
req03773,1 year,B.Sc.,"Spark, Python, Scala, Hadoop"
req03774,3-5 yrs,Bachelor's,"Hadoop, PowerBI, Python, Spark"
req03775,None,None,"Scala, PowerBI, Excel, Hadoop"
req03776,None,B.Sc.,"Hadoop, Tableau, Excel, Spark"
req03777,at least 2,BS,"Spark, Leadership, SQL, Tableau, Excel"
req03778,None,Bachelor's,"Communication, Excel, Hadoop"
req03779,None,None,"Communication, SQL, Leadership, Excel, Scala"
req03780,at least 2,B.Sc.,"Scala, Excel, Spark, R"
req03781,3-5 yrs,PhD,"Excel, Hadoop"
req03782,None,MSc,"Tableau, Python"
req03783,2+,None,"Tableau, PowerBI, Spark, Python, Communication"
req03784,None,PhD,"Scala, PowerBI, Hadoop"
req03785,at least 2,Bachelor's,"Leadership, Excel"
req03786,3-5 yrs,BS,"Hadoop, Communication, R, Spark, PowerBI"
req03787,None,MSc,"PowerBI, Scala, R, Communication, SQL"
req03788,2+,MSc,"Hadoop, Python, PowerBI, Leadership, Tableau"
req03789,2+,None,"Scala, Hadoop"
req03790,1 year,Bachelor's,"Leadership, SQL, Python"
req03791,None,None,"Communication, Leadership"
req03792,2+,BS,"Hadoop, Excel, SQL, Scala, Communication"
req03793,None,BS,"Spark, Tableau, Communication, R, Excel"
req03794,1 year,B.Sc.,"PowerBI, Hadoop, R"
req03795,2+,Bachelor's,"Scala, R"
req03796,1 year,MSc,"Leadership, Excel, R, Tableau"
req03797,3-5 yrs,B.Sc.,"Tableau, Scala, SQL"
req03798,at least 2,BS,"R, Tableau, Spark"
req03799,2+,BS,"Hadoop, Excel, PowerBI"
req03800,2+,MSc,"Tableau, Excel, Communication"
req03801,1 year,None,"R, Excel"
req03802,None,None,"Leadership, R, Hadoop, Communication, PowerBI"
req03803,2+,PhD,"R, SQL, PowerBI"
req03804,at least 2,None,"Tableau, Excel, Communication, PowerBI, Spark"
req03805,1 year,PhD,"R, SQL"
req03806,at least 2,None,"Excel, Spark"
req03807,2+,MSc,"Spark, SQL, Leadership, Hadoop"
req03808,2+,BS,"SQL, Excel, Spark, PowerBI"
req03809,None,PhD,"Excel, R, Python"
req03810,at least 2,MSc,"Leadership, Python, SQL"
req03811,None,PhD,"Scala, Tableau, R, PowerBI, Python"
req03812,3-5 yrs,None,"Scala, PowerBI"
req03813,at least 2,PhD,"R, Tableau, Hadoop, Python, Communication"
req03814,2+,None,"Hadoop, Tableau, Spark"
req03815,1 year,B.Sc.,"Scala, Tableau, Spark, Python, Hadoop"
req03816,1 year,BS,"Tableau, R"
req03817,1 year,BS,"R, Tableau, Leadership, Communication"
req03818,None,MSc,"R, Tableau, Leadership, SQL"
req03819,None,BS,"SQL, Tableau, Hadoop, Leadership"
req03820,2+,BS,"Spark, Leadership"
req03821,1 year,B.Sc.,"Hadoop, Tableau, Scala"
req03822,3-5 yrs,B.Sc.,"SQL, Spark, Tableau"
req03823,None,None,"Python, Excel, Scala, Leadership"
req03824,1 year,Bachelor's,"Spark, Leadership, PowerBI"
req03825,at least 2,MSc,"R, SQL, Leadership, Spark, Excel"
req03826,1 year,PhD,"Communication, Python, SQL, Excel, PowerBI"
req03827,1 year,PhD,"Spark, Hadoop"
req03828,2+,Bachelor's,"Communication, Excel, SQL, Scala"
req03829,2+,None,"Communication, Tableau, Spark, Leadership, Scala"
req03830,at least 2,PhD,"R, Python"
req03831,2+,None,"Hadoop, SQL, Tableau, Python"
req03832,None,MSc,"Excel, Scala, Tableau"
req03833,None,MSc,"Scala, R, Hadoop, Excel"
req03834,3-5 yrs,B.Sc.,"PowerBI, SQL, Tableau"
req03835,at least 2,Bachelor's,"R, Spark"
req03836,1 year,B.Sc.,"Communication, Leadership, Python"
req03837,1 year,B.Sc.,"Excel, R, Hadoop"
req03838,3-5 yrs,B.Sc.,"SQL, Python, Hadoop"
req03839,None,PhD,"SQL, Hadoop"
req03840,None,PhD,"Scala, R, PowerBI, Leadership"
req03841,at least 2,B.Sc.,"Scala, Leadership, Python"
req03842,at least 2,None,"Leadership, R, Excel, Hadoop, Spark"
req03843,1 year,B.Sc.,"SQL, PowerBI, Tableau, Excel"
req03844,None,None,"Python, R, SQL"
req03845,at least 2,PhD,"R, Communication, Leadership"
req03846,3-5 yrs,B.Sc.,"Leadership, Scala, Excel"
req03847,2+,None,"Scala, Leadership, R, SQL"
req03848,at least 2,PhD,"Communication, Excel, Tableau, Hadoop"
req03849,2+,B.Sc.,"Scala, Leadership, Python, PowerBI"
req03850,1 year,B.Sc.,"Excel, PowerBI, Leadership"
req03851,2+,B.Sc.,"Communication, Spark, SQL, Tableau, PowerBI"
req03852,at least 2,BS,"Communication, Hadoop, Leadership"
req03853,at least 2,None,"Leadership, Hadoop"
req03854,None,BS,"R, Leadership"
req03855,None,B.Sc.,"Excel, Spark"
req03856,1 year,BS,"R, Python, Communication"
req03857,2+,BS,"Hadoop, Scala, SQL, Spark"
req03858,2+,MSc,"R, Leadership, Tableau, SQL"
req03859,at least 2,PhD,"Communication, SQL"
req03860,2+,Bachelor's,"R, Python, Excel"
req03861,None,PhD,"Excel, Tableau"
req03862,None,None,"Spark, Excel, Hadoop"
req03863,at least 2,MSc,"Spark, PowerBI, R, Scala, Excel"
req03864,at least 2,BS,"PowerBI, Communication, Hadoop, R, SQL"
req03865,at least 2,None,"Tableau, Python, Excel"
req03866,2+,Bachelor's,"Python, R, Communication, Spark"
req03867,None,None,"Scala, R, PowerBI, SQL, Excel"
req03868,1 year,BS,"Spark, PowerBI, Excel"
req03869,None,B.Sc.,"Tableau, PowerBI, Leadership, Spark"
req03870,1 year,Bachelor's,"Spark, Communication, Tableau, Hadoop"
req03871,2+,BS,"Communication, Excel, Python, Tableau"
req03872,at least 2,PhD,"Scala, Communication, R"
req03873,3-5 yrs,BS,"Excel, Scala, Leadership, Hadoop, Python"
req03874,1 year,B.Sc.,"Leadership, Hadoop, Scala"
req03875,2+,None,"Communication, R, Excel, SQL"
req03876,None,MSc,"R, Hadoop, Communication, PowerBI"
req03877,2+,MSc,"Communication, Hadoop"
req03878,None,MSc,"Tableau, SQL, Spark, Scala, PowerBI"
req03879,1 year,B.Sc.,"Leadership, Communication, SQL, R"
req03880,at least 2,MSc,"Spark, Hadoop, Communication"
req03881,3-5 yrs,BS,"Leadership, Excel, PowerBI, SQL"
req03882,at least 2,PhD,"R, Excel, Scala"
req03883,at least 2,None,"Hadoop, Spark"
req03884,2+,PhD,"Hadoop, Spark, Python, Communication"
req03885,3-5 yrs,B.Sc.,"R, PowerBI, SQL"
req03886,1 year,Bachelor's,"Scala, Python, Excel, PowerBI"
req03887,None,PhD,"R, Tableau"
req03888,2+,BS,"Hadoop, Excel, Leadership, R"
req03889,2+,PhD,"Scala, Excel"
req03890,1 year,BS,"PowerBI, R"
req03891,3-5 yrs,PhD,"PowerBI, Communication"
req03892,at least 2,MSc,"Hadoop, PowerBI, Python"
req03893,2+,BS,"Hadoop, SQL, Excel, Python"
req03894,1 year,PhD,"Spark, PowerBI, Communication"
req03895,1 year,BS,"R, Python, Leadership, PowerBI"
req03896,None,Bachelor's,"Excel, Communication"
req03897,2+,Bachelor's,"Excel, Hadoop, Leadership"
req03898,3-5 yrs,Bachelor's,"Leadership, R"
req03899,None,None,"Communication, SQL, Hadoop"
req03900,1 year,None,"Spark, Hadoop"
req03901,at least 2,None,"SQL, R"
req03902,3-5 yrs,BS,"Leadership, Communication, SQL"
req03903,None,B.Sc.,"Spark, PowerBI, Tableau, Hadoop"
req03904,None,BS,"Scala, SQL, Leadership, Hadoop, Excel"
req03905,2+,B.Sc.,"Excel, SQL, Tableau, Hadoop, Scala"
req03906,3-5 yrs,BS,"PowerBI, Spark"
req03907,1 year,BS,"Leadership, Excel"
req03908,None,BS,"Spark, Tableau, PowerBI, R"
req03909,2+,PhD,"Python, SQL, R, PowerBI, Scala"
req03910,2+,B.Sc.,"PowerBI, SQL"
req03911,3-5 yrs,None,"Hadoop, PowerBI, Scala"
req03912,at least 2,None,"Python, Excel, Scala, SQL"
req03913,at least 2,BS,"Python, Spark, Hadoop, PowerBI, SQL"
req03914,2+,BS,"Hadoop, R, Tableau, Leadership"
req03915,1 year,Bachelor's,"Scala, Excel, Python"
req03916,at least 2,B.Sc.,"Hadoop, PowerBI, R"
req03917,1 year,BS,"Tableau, Scala, SQL"
req03918,None,MSc,"Excel, R, Tableau, Scala, PowerBI"
req03919,1 year,B.Sc.,"Scala, PowerBI, R, Tableau, Hadoop"
req03920,1 year,Bachelor's,"SQL, Leadership, Communication"
req03921,3-5 yrs,BS,"SQL, Spark, Communication"
req03922,at least 2,B.Sc.,"Spark, R"
req03923,2+,BS,"Hadoop, Spark, Tableau, SQL, R"
req03924,3-5 yrs,BS,"SQL, Leadership, Hadoop"
req03925,2+,PhD,"Tableau, Hadoop, Communication, Spark"
req03926,at least 2,MSc,"SQL, Communication, Leadership, R, Spark"
req03927,2+,PhD,"Leadership, Communication"
req03928,2+,None,"Spark, Tableau, SQL, R, Python"
req03929,1 year,B.Sc.,"Python, Hadoop"
req03930,None,PhD,"Tableau, Communication, Hadoop"
req03931,None,BS,"Python, PowerBI, Leadership"
req03932,3-5 yrs,Bachelor's,"Scala, R, Hadoop, Tableau, Python"
req03933,None,Bachelor's,"Python, Tableau, R, Leadership"
req03934,1 year,BS,"Communication, Tableau"
req03935,None,MSc,"Spark, PowerBI"
req03936,1 year,None,"Scala, Spark, Tableau, SQL, Leadership"
req03937,1 year,None,"Leadership, Scala, Hadoop, Communication, Excel"
req03938,3-5 yrs,Bachelor's,"PowerBI, R"
req03939,1 year,None,"SQL, Scala, Leadership, Tableau, PowerBI"
req03940,at least 2,B.Sc.,"R, Scala, SQL"
req03941,3-5 yrs,PhD,"Scala, Leadership"
req03942,None,PhD,"Tableau, Excel, Leadership, Hadoop"
req03943,None,None,"Scala, R, Tableau"
req03944,None,Bachelor's,"Spark, PowerBI"
req03945,at least 2,PhD,"Leadership, Excel, Scala, R"
req03946,2+,MSc,"Communication, Leadership"
req03947,2+,BS,"Hadoop, Tableau, Spark, SQL, Excel"
req03948,1 year,Bachelor's,"Communication, Excel"
req03949,at least 2,BS,"R, Communication, Python, PowerBI"
req03950,None,B.Sc.,"Tableau, Excel, Python, SQL, Spark"
req03951,at least 2,None,"Excel, Tableau"
req03952,at least 2,PhD,"Hadoop, Python, Communication, SQL"
req03953,2+,Bachelor's,"Leadership, PowerBI, Hadoop, Communication"
req03954,at least 2,B.Sc.,"Scala, Tableau, Leadership, Python"
req03955,3-5 yrs,MSc,"R, Spark, PowerBI, Tableau, SQL"
req03956,2+,PhD,"Tableau, Communication, Hadoop"
req03957,None,B.Sc.,"Hadoop, Leadership, Communication, Spark, R"
req03958,None,B.Sc.,"Tableau, Scala, Spark"
req03959,3-5 yrs,MSc,"Tableau, Communication, Hadoop"
req03960,1 year,Bachelor's,"Spark, Tableau, R, Hadoop"
req03961,3-5 yrs,None,"PowerBI, Scala, Leadership, R"
req03962,2+,None,"Spark, Hadoop, Leadership, Python"
req03963,2+,B.Sc.,"Python, PowerBI"
req03964,3-5 yrs,None,"Spark, Python, Scala"
req03965,None,Bachelor's,"R, Scala"
req03966,None,BS,"Python, Excel"
req03967,2+,None,"PowerBI, R"
req03968,1 year,None,"Leadership, Scala, R, Spark, PowerBI"
req03969,2+,MSc,"Python, Leadership, Excel, Tableau"
req03970,None,B.Sc.,"R, SQL"
req03971,1 year,Bachelor's,"Hadoop, Spark, R, SQL"
req03972,1 year,B.Sc.,"SQL, Communication, PowerBI, R"
req03973,at least 2,PhD,"Spark, PowerBI, R, Communication"
req03974,at least 2,PhD,"Excel, Leadership, Spark"
req03975,3-5 yrs,BS,"Hadoop, Scala, Python, SQL"
req03976,1 year,B.Sc.,"PowerBI, SQL, Communication"
req03977,3-5 yrs,None,"Python, Tableau"
req03978,1 year,BS,"Tableau, Python, PowerBI, Excel, Spark"
req03979,at least 2,MSc,"R, Tableau, SQL"
req03980,3-5 yrs,None,"PowerBI, Tableau, Hadoop"
req03981,at least 2,None,"PowerBI, Python"
req03982,at least 2,BS,"PowerBI, Spark, Tableau"
req03983,2+,MSc,"Leadership, PowerBI, Communication"
req03984,2+,Bachelor's,"Leadership, PowerBI, R, Tableau"
req03985,3-5 yrs,B.Sc.,"Tableau, R"
req03986,2+,Bachelor's,"Communication, Tableau"
req03987,at least 2,Bachelor's,"Scala, Excel, Spark, PowerBI"
req03988,at least 2,None,"Python, Spark, Scala, PowerBI, Hadoop"
req03989,at least 2,None,"R, Communication, Leadership"
req03990,3-5 yrs,PhD,"Communication, Excel, Tableau, Scala"
req03991,at least 2,None,"Spark, Tableau, Python"
req03992,None,BS,"SQL, Leadership"
req03993,None,None,"SQL, Tableau, Python, R"
req03994,3-5 yrs,MSc,"PowerBI, Leadership, SQL"
req03995,at least 2,PhD,"Spark, Python, Communication, Excel"
req03996,3-5 yrs,MSc,"Python, SQL, Hadoop, Communication, Excel"
req03997,1 year,BS,"Excel, Communication, Leadership, Scala"
req03998,2+,BS,"Tableau, Hadoop, Excel"
req03999,2+,B.Sc.,"Tableau, R, Excel, PowerBI"
req04000,3-5 yrs,BS,"R, Leadership"
req04001,1 year,None,"Python, Scala, Tableau, Hadoop"
req04002,3-5 yrs,BS,"SQL, Scala, R"
req04003,at least 2,Bachelor's,"Leadership, Scala, Spark, Communication"
req04004,None,BS,"Communication, PowerBI, Scala, SQL, Leadership"
req04005,1 year,Bachelor's,"Python, SQL, PowerBI"
req04006,1 year,None,"Hadoop, Communication, Leadership"
req04007,3-5 yrs,MSc,"Communication, Tableau, PowerBI, Hadoop"
req04008,2+,Bachelor's,"Scala, Tableau, SQL, R"
req04009,at least 2,Bachelor's,"Leadership, Communication, SQL, Excel, Scala"
req04010,at least 2,Bachelor's,"SQL, Python, Excel, Spark"
req04011,3-5 yrs,B.Sc.,"Python, Leadership, Scala, SQL"
req04012,1 year,PhD,"Communication, Python"
req04013,None,MSc,"Tableau, R, Leadership, Scala"
