application_id,borrower_id,application_date,loan_purpose,requested_amount,application_status,loan_term_months,interest_rate_offered
LA00395,B0328,2022-03-27,Debt Consolidation,12616,Approved,12,11.77
LA00396,B0052,2022-05-29,Debt Consolidation,7985,Approved,24,12.39
LA00397,B0374,2023-12-01,Debt Consolidation,7206,Rejected,48,9.84
LA00398,B0376,2023-01-07,Medical,4807,Manual Review,24,12.16
LA00399,B0263,2023-04-25,Debt Consolidation,15626,Approved,36,5.0
LA00400,B0267,2024-03-28,Debt Consolidation,59600,Rejected,36,14.97
LA00401,B0359,2022-05-31,Medical,37156,Approved,48,23.08
LA00402,B0317,2022-05-21,Debt Consolidation,22536,Approved,24,10.02
LA00403,B0324,2022-03-10,Debt Consolidation,22932,Rejected,36,14.18
LA00404,B0396,2022-09-17,Home Improvement,12014,Approved,36,16.33
LA00405,B0154,2024-04-25,Debt Consolidation,3153,Approved,36,18.26
LA00406,B0358,2023-06-05,Home Improvement,9941,Rejected,48,11.31
LA00407,B0366,2023-09-25,Medical,6152,Pending,24,5.0
LA00408,B0140,2023-01-06,Medical,15119,Approved,48,13.7
LA00409,B0051,2023-02-23,Business,35831,Approved,48,13.08
LA00410,B0117,2022-04-11,Medical,64778,Pending,36,10.94
LA00411,B0046,2023-10-23,Medical,14068,Pending,48,11.9
LA00412,B0309,2023-10-20,Home Improvement,3520,Rejected,36,13.15
LA00413,B0088,2024-05-14,Vacation,14046,Approved,24,14.13
LA00414,B0208,2022-08-31,Business,14355,Manual Review,48,13.94
LA00415,B0377,2024-01-23,Business,22995,Approved,36,11.52
LA00416,B0269,2023-05-27,Auto,13156,Rejected,36,14.23
LA00417,B0089,2024-04-28,Debt Consolidation,14089,Approved,36,11.22
LA00418,B0381,2023-07-09,Debt Consolidation,8057,Rejected,60,15.39
LA00419,B0118,2022-04-05,Debt Consolidation,10409,Approved,36,9.68
LA00420,B0054,2022-08-14,Business,20142,Approved,12,12.83
LA00421,B0116,2023-06-02,Education,2679,Approved,36,5.19
LA00422,B0118,2022-08-02,Auto,10364,Approved,48,10.84
LA00423,B0260,2023-12-19,Home Improvement,23163,Rejected,48,15.05
LA00424,B0075,2022-03-08,Vacation,49641,Pending,36,7.85
LA00425,B0305,2023-01-31,Debt Consolidation,9714,Manual Review,60,11.06
LA00426,B0007,2023-09-04,Debt Consolidation,34485,Approved,24,5.0
LA00427,B0366,2022-01-12,Home Improvement,51638,Rejected,36,6.34
LA00428,B0122,2022-08-25,Education,9815,Rejected,60,7.52
LA00429,B0011,2024-04-13,Medical,8547,Approved,60,12.96
LA00430,B0348,2024-02-09,Business,11548,Approved,48,14.0
LA00431,B0215,2023-02-03,Debt Consolidation,12511,Rejected,60,12.25
LA00432,B0279,2023-02-11,Medical,31973,Manual Review,12,10.78
LA00433,B0028,2024-04-28,Medical,7194,Rejected,60,10.79
LA00434,B0235,2023-04-25,Debt Consolidation,45727,Approved,36,15.72
LA00435,B0367,2023-10-09,Vacation,7040,Approved,24,13.46
LA00436,B0313,2022-08-10,Auto,4858,Approved,24,11.0
LA00437,B0026,2022-06-05,Auto,20313,Rejected,36,18.32
LA00438,B0054,2023-10-16,Business,35755,Rejected,24,21.27
LA00439,B0029,2023-03-04,Auto,15412,Approved,36,6.89
LA00440,B0353,2022-06-07,Debt Consolidation,18921,Pending,24,14.85
LA00441,B0164,2023-02-20,Auto,63795,Approved,24,26.4
LA00442,B0270,2022-11-22,Home Improvement,36160,Manual Review,36,13.76
LA00443,B0334,2023-01-06,Debt Consolidation,13694,Approved,36,13.02
LA00444,B0035,2022-12-10,Debt Consolidation,9462,Approved,36,12.25
LA00445,B0286,2022-09-19,Auto,32081,Approved,48,14.71
LA00446,B0348,2022-10-10,Auto,25937,Approved,60,15.9
LA00447,B0273,2024-04-29,Debt Consolidation,18673,Approved,48,6.9
LA00448,B0208,2024-05-05,Auto,10284,Rejected,36,12.38
LA00449,B0238,2022-08-17,Business,12567,Rejected,48,5.0
LA00450,B0093,2024-06-06,Debt Consolidation,11872,Rejected,24,11.56
LA00451,B0173,2022-10-07,Debt Consolidation,10422,Approved,24,8.44
LA00452,B0079,2024-05-19,Auto,8259,Approved,36,14.03
LA00453,B0110,2022-10-17,Debt Consolidation,16517,Approved,48,5.05
LA00454,B0217,2023-11-11,Education,7966,Rejected,24,10.19
LA00455,B0358,2022-02-16,Debt Consolidation,15396,Approved,12,16.85
LA00456,B0106,2023-12-16,Medical,2490,Manual Review,24,9.46
LA00457,B0047,2022-08-02,Auto,8267,Rejected,60,5.0
LA00458,B0181,2024-01-28,Auto,32165,Approved,36,13.66
LA00459,B0064,2022-01-24,Vacation,6500,Approved,24,9.86
LA00460,B0246,2022-11-17,Business,21454,Approved,36,11.66
LA00461,B0244,2022-10-01,Auto,6947,Approved,36,9.22
LA00462,B0320,2023-07-10,Auto,24850,Pending,48,21.38
LA00463,B0087,2024-04-23,Debt Consolidation,10533,Manual Review,24,5.49
LA00464,B0217,2022-11-09,Medical,10205,Approved,60,25.25
LA00465,B0007,2022-12-29,Debt Consolidation,13953,Rejected,36,10.74
LA00466,B0278,2023-10-30,Vacation,4560,Rejected,48,13.33
LA00467,B0337,2023-01-15,Home Improvement,29076,Rejected,12,9.91
LA00468,B0210,2023-12-12,Medical,37901,Approved,36,9.73
LA00469,B0169,2023-11-05,Debt Consolidation,10016,Approved,36,8.97
LA00470,B0330,2023-04-15,Auto,20320,Approved,36,15.21
LA00471,B0138,2024-01-16,Business,24912,Pending,12,6.15
LA00472,B0391,2023-11-06,Home Improvement,12419,Approved,48,14.14
LA00473,B0381,2022-04-26,Business,5504,Approved,24,5.0
LA00474,B0306,2023-08-28,Debt Consolidation,47823,Manual Review,48,13.73
LA00475,B0230,2022-02-11,Medical,9759,Rejected,48,16.32
LA00476,B0308,2024-03-06,Business,8206,Pending,36,6.76
LA00477,B0161,2023-01-14,Home Improvement,49564,Approved,48,15.55
LA00478,B0001,2023-12-23,Other,21764,Approved,48,12.73
LA00479,B0236,2022-07-25,Debt Consolidation,16414,Manual Review,36,19.69
LA00480,B0188,2023-04-11,Debt Consolidation,6144,Approved,48,8.65
LA00481,B0004,2024-01-02,Business,25393,Approved,24,25.17
LA00482,B0132,2022-10-07,Debt Consolidation,100000,Approved,36,5.0
LA00483,B0218,2023-10-10,Other,27021,Approved,48,11.02
LA00484,B0260,2023-09-10,Other,19868,Approved,36,5.0
LA00485,B0001,2022-04-28,Debt Consolidation,23786,Pending,36,20.83
LA00486,B0071,2022-08-25,Medical,10275,Manual Review,36,11.32
LA00487,B0178,2022-11-05,Debt Consolidation,10197,Manual Review,48,11.73
LA00488,B0189,2023-04-01,Home Improvement,10093,Approved,60,14.49
LA00489,B0291,2024-06-18,Debt Consolidation,8434,Approved,36,12.48
LA00490,B0008,2023-04-20,Debt Consolidation,10077,Approved,48,9.83
LA00491,B0253,2022-04-10,Home Improvement,10039,Pending,60,6.85
LA00492,B0292,2022-09-18,Home Improvement,10984,Approved,12,13.26
LA00493,B0244,2022-11-01,Other,10741,Rejected,24,14.2
LA00494,B0123,2022-12-20,Vacation,16226,Rejected,48,15.63
LA00495,B0299,2022-10-13,Auto,14228,Approved,48,21.11
LA00496,B0283,2022-11-24,Medical,15273,Approved,60,5.0
LA00497,B0032,2022-04-13,Vacation,45154,Manual Review,36,12.2
LA00498,B0334,2022-03-04,Home Improvement,14205,Manual Review,12,17.86
LA00499,B0377,2023-11-18,Auto,78332,Approved,36,11.94
LA00500,B0146,2022-10-09,Other,17714,Approved,24,5.0
